CODIGO,ENTIDAD,NOMBRE FANTASIA,DIRECCION,COMUNA,HORARIO REFERENCIAL,ESTE,NORTE,LONGITUD,LATITUD
246,Walmart,LIDER EXPRESS GRAN AVENIDA,GRAN AVENIDA JOSE MIGUEL CARRERA 4004,SAN MIGUEL,Lun-Dom 08:30 a 22:00,346620,6293153,-70.6510015909072,-33.4901472285148
247,Walmart,LIDER EXPRESS CIUDAD DEL ESTE,AV. DIEGO PORTALES 06303,LA FLORIDA,Lun-Dom 08:30 a 22:00,355784,6285746,-70.554146,-33.558495
248,Walmart,LIDER EXPRESS 10 DE JULIO,AV. DIEZ DE JULIO 1625,SANTIAGO,Lun-Dom 08:30 a 22:00,345975,6297108,-70.657264268817,-33.4543969124095
249,Walmart,LIDER EXPRESS SANTA ROSA,AV. SANTA ROSA 115,SANTIAGO,Lun-Dom 08:30 a 22:00,347039,6298118,-70.6456432832749,-33.4454406991941
250,Walmart,LIDER HIPER LOS DOMINICOS,AV. CAMINO EL ALBA 11865,LAS CONDES,Lun-Dom 08:30 a 22:00,359064,6303246,-70.5162602451958,-33.4010309606469
251,Walmart,LIDER EXPRESS MERCED,MERCED 560,SANTIAGO,Lun-Dom 08:30 a 22:00,347081,6298942,-70.6450494877621,-33.4380244776321
252,Walmart,LIDER EXPRESS SAN MARTIN DOWN TOWN,SAN MARTIN 37,SANTIAGO,Lun-Dom 08:30 a 22:00,345951,6298233,-70.6573316939999,-33.4442484746824
253,Walmart,LIDER EXPRESS VESPUCIO EL ROSAL,AV. AMERICO VESPUCIO 1122,MAIPU,Lun-Dom 08:30 a 22:00,336894,6294278,-70.7554495228448,-33.4785709438186
255,Walmart,LIDER HIPER OESTE,AV. AMERICO VESPUCIO 2500,CERRILLOS,Lun-Dom 08:30 a 22:00,341234,6290001,-70.7095140378624,-33.5177767962498
256,Walmart,LIDER HIPER SANTA ROSA,AV. SANTA ROSA 9233,SAN RAMON,Lun-Dom 08:30 a 22:00,348308,6287035,-70.6338725867448,-33.5455463417283
257,Walmart,LIDER HIPER QUILICURA,AV. LIBERTADOR BERNARDO O'HIGGINS 314,QUILICURA,Lun-Dom 08:30 a 22:00,339244,6307865,-70.7283,-33.356711
258,Walmart,LIDER EXPRESS TOMAS MORO,AV. TOMAS MORO 1590,LAS CONDES,Lun-Dom 08:30 a 22:00,355585,6300708,-70.553886,-33.423569
259,Walmart,LIDER HIPER RECOLETA,AV. RECOLETA 3501,RECOLETA,Lun-Dom 08:30 a 22:00,347251,6303850,-70.6423967463143,-33.3937924098514
260,Walmart,LIDER HIPER PRINCIPE DE GALES,AV. PRINCIPE DE GALES 9140,LA REINA,Lun-Dom 08:30 a 22:00,357272,6298698,-70.5354914891933,-33.4416245402331
261,Walmart,LIDER HIPER GRAN AVENIDA,GRAN AVENIDA JOSE MIGUEL CARRERA 6150,SAN MIGUEL,Lun-Dom 08:30 a 22:00,346086,6290686,-70.6571739852926,-33.5123136495111
262,Walmart,LIDER HIPER LA PINTANA,AV. SANTA ROSA ESQ GABRIELA 2541,LA PINTANA,Lun-Dom 08:30 a 22:00,348878,6282565,-70.62848095,-33.58582
263,Walmart,LIDER HIPER MELIPILLA,AV. VICUNA MACKENNA 0153,MELIPILLA,Lun-Dom 08:30 a 22:00,295735,6271053,-71.2034869855747,-33.6808237217269
264,Walmart,LIDER HIPER GENERAL VELASQUEZ,AV. PADRE ALBERTO HURTADO 060,ESTACION CENTRAL,Lun-Dom 08:30 a 22:00,342768,6297190,-70.69173,-33.4530783333333
265,Walmart,LIDER HIPER SAN PABLO,AV. NEPTUNO 720,LO PRADO,Lun-Dom 08:30 a 22:00,339867,6298062,-70.7227898618076,-33.4448987331016
266,Walmart,LIDER HIPER LA REINA,AV. JORGE ALESSANDRI 1131,LA REINA,Lun-Dom 08:30 a 22:00,356222,6296363,-70.5471596002507,-33.4625346040014
267,Walmart,LIDER HIPER VESPUCIO,AV. AMERICO VESPUCIO SUR 881,ÑUÑOA,Lun-Dom 08:30 a 22:00,353769,6296340,-70.57430507,-33.46258442
268,Walmart,LIDER HIPER SANTA AMALIA,AV. SANTA AMALIA 1763,LA FLORIDA,Lun-Dom 08:30 a 22:00,354236,6287333,-70.57056,-33.543967
269,Walmart,LIDER HIPER SAN JOAQUIN,AV. VICUNA MACKENNA 3361,SAN JOAQUIN,Lun-Dom 08:30 a 22:00,349434,6293977,-70.6205823884334,-33.4831148286493
270,Walmart,LIDER HIPER SAN BERNARDO,AV. SAN JOSE 69,SAN BERNARDO,Lun-Dom 08:30 a 22:00,342599,6281110,-70.6963917185752,-33.5981376684502
271,Walmart,LIDER HIPER 3 PONIENTE,AV. TRES PONIENTE 0900,MAIPU,Lun-Dom 08:30 a 22:00,334891,6289564,-70.777865038053,-33.5207567895844
