Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Tipus_Vehicles,Desc_distintiu_ambiental,Nombre
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Altres vehicles,Etiqueta C – Verda,346
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Altres vehicles,No consta,11
2019,2,Eixample,10,Sant Antoni,Turismes,Sense distintiu ambiental,2136
2019,2,Eixample,10,Sant Antoni,Turismes,Etiqueta 0 – Zero emissions – Blava,33
2019,2,Eixample,10,Sant Antoni,Turismes,Etiqueta B – Groga,3322
2019,2,Eixample,10,Sant Antoni,Turismes,Etiqueta C – Verda,3676
2019,2,Eixample,10,Sant Antoni,Turismes,Etiqueta E – Eco,280
2019,2,Eixample,10,Sant Antoni,Turismes,No consta,48
2019,2,Eixample,10,Sant Antoni,Motos,Sense distintiu ambiental,981
2019,2,Eixample,10,Sant Antoni,Motos,Etiqueta 0 – Zero emissions – Blava,12
2019,2,Eixample,10,Sant Antoni,Motos,Etiqueta B – Groga,650
2019,2,Eixample,10,Sant Antoni,Motos,Etiqueta C – Verda,2967
2019,2,Eixample,10,Sant Antoni,Motos,No consta,31
2019,2,Eixample,10,Sant Antoni,Ciclomotors,Sense distintiu ambiental,448
2019,2,Eixample,10,Sant Antoni,Ciclomotors,Etiqueta 0 – Zero emissions – Blava,6
2019,2,Eixample,10,Sant Antoni,Ciclomotors,Etiqueta B – Groga,446
2019,2,Eixample,10,Sant Antoni,Ciclomotors,Etiqueta C – Verda,29
2019,2,Eixample,10,Sant Antoni,Ciclomotors,No consta,7
2019,2,Eixample,10,Sant Antoni,Furgonetes,Sense distintiu ambiental,306
2019,2,Eixample,10,Sant Antoni,Furgonetes,Etiqueta 0 – Zero emissions – Blava,12
2019,2,Eixample,10,Sant Antoni,Furgonetes,Etiqueta B – Groga,347
2019,2,Eixample,10,Sant Antoni,Furgonetes,Etiqueta C – Verda,90
2019,2,Eixample,10,Sant Antoni,Furgonetes,Etiqueta E – Eco,1
2019,2,Eixample,10,Sant Antoni,Furgonetes,No consta,5
2019,2,Eixample,10,Sant Antoni,Camions,Sense distintiu ambiental,136
